OBJECTID,Naziv_staj,Linije,Opis,Napomena,RBR_GC_2,MBR_GC,IME_GC,IME_GO,IME_ZUPANI,SIFRA_PJ,sjediste_G,Shape_Leng,Shape_Area
"325",Dru¹tveni dom - jug,"159,160,163",smjer okreti¹te Odranski Obre¾,15.94239200000004 45.71553699900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"326",Dru¹tveni dom - sjever,"159,160,163",smjer Savski most,15.942289000000073 45.71569799900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"366",Ðurakov breg - istok,"160",smjer Savski most,15.940898000000061 45.65746099900008,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"367",Ðurakov breg - zapad,"160,163",smjer Lipnica,15.940929999000048 45.65700299900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"382",Ferki - istok,"163",smjer Gornji Trpuci,15.937714000000028 45.66554699900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"383",Ferki - zapad,"160,163",smjer Savski most,15.93755600000003 45.66530899900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"394",G.Trpuci ulaz\izlaz linija 163,"160,163",okreti¹te Gornji Trpuci,15.909064000000058 45.64966499900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"396",Gajani - zapad,"162",smjer Savski most,15.822879001000047 45.67067299900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"407",Gata - jug,"163",smjer Savski most,15.93033900000006 45.667170999000064,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"408",Gata - sjever,"160,163",smjer Gornji Trpuci,15.929658000000074 45.667271999000036,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"434",Goli Breg - groblje - sjever,"132",smjer Savski most,15.896300000000053 45.732911999000066,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"435",Goli Breg - zapad,"132",smjer Osnovna ¹kola Brezovica,15.897940001000052 45.731245999000066,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"438",Goljaèki put - istok,"160",smjer Savski most,15.938938000000064 45.64970099900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"439",Goljaèki put - zapad,"160,163",smjer Lipnica,15.938168000000076 45.649492999000074,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"440",Golobre¹ka - istok,"161,162",smjer Savski most,15.910858000000076 45.727839999000025,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"441",Golobre¹ka - zapad,"161,162",smjer Kupineèki Kraljevec,15.91073300000005 45.72781599900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"442",Golobre¹ka - 1.odvojak - sjever,"132",smjer Savski most,15.902820001000066 45.730267999000034,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"468",Gornjodemerska - istok,"132",smjer Savski most,15.888687000000061 45.73736299900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"469",Gornjodemerska - zapad,"132",smjer  Brezovica,15.888530999000068 45.737320999000076,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"470",Gornjodr. - Stari dom - istok,"160",smjer Savski most,15.936828999000056 45.64692799900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"471",Gornjodr. - Stari dom - zapad,"160,163",smjer Lipnica,15.93676800000003 45.647049999000046,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"472",Gornjodrag. - spomenik - istok,"160",smjer Savski most,15.933768000000043 45.63803899900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"473",Gornjodrag. - spomenik - zapad,"160,163",smjer Lipnica,15.934303000000057 45.638408999000035,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"503",Granèarska 22 - istok,"161,162",smjer Savski most,15.893694000000039 45.704142999000055,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"504",Granèarska 22 - zapad,"161,162",smjer Kupineèki Kraljevec,15.893743000000029 45.703853999000046,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"523",Harabajsi - jug,"162",smjer Savski most,15.857277000000067 45.68460699900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"524",Harabajsi - sjever,"161,162",smjer A¹pergeri,15.85729200000003 45.68471399900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"526",Havidiæ Selo - ulaz\izlaz linija 160 i 163,"160,163",okreti¹te Havidiæ Selo,15.93433600000003 45.62322399900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"533",Hladnjaèa - istok,"161,162",smjer Savski most,15.885166999000035 45.691388999000026,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"534",Hladnjaèa - zapad,"161,162",smjer Kupineèki Kraljevec,15.884736000000032 45.69101199900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"539",Horvati - Hercegi - jug,"164",smjer Savski most,15.810685001000024 45.71106499900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"540",Horvati - Hercegi - sjever,"164",smjer Komari,15.810512000000074 45.71121499900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"563",Hudobièka 1 - istok,"161,162",smjer Savski most,15.89707500000003 45.71113499900008,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"564",Hudobièka 1 - zapad,"161,162",smjer Kupineèki Kraljevec,15.896591000000058 45.71071899900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"565",Hudobièka 36 - istok,"161,162",smjer Savski most,15.893985999000051 45.70763199900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"566",Hudobièka 36 - zapad,"161,162",smjer Kupineèki Kraljevec,15.893304000000057 45.70704099900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
